Student29_2024_04_11_23_25, 2024-04-11 23:25
Time, Difficulty, EventType, Latency, Student Name, Score, TargetVesselTypeScore, TargetIsPortStarboardScore, TargetIsBowBeamSternScore, TargetRangeScore, TargetBearingScore, TargetAngleScore, TargetBearingDriftScore, TargetCPAIsPortStarboardScore, TargetCPAIsBowBeamSternScore, TargetCPARangeScore, RuleTypeScore, StandOnGiveWayScore, ActionScore, DegreesScore, SpeedScore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPARangechosen, TargetCPARangecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, 
0040.7, None, GameMode, -1, Quiz
0040.7, None, Continue, -1, Continue
0105.5, Beginner, Answer, 0, Student29, 68, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, Warship, Merchant, Port, Port, Bow, Bow, 11159, 10073.65, 0, 330.9286, 0, 12.4306, no, No, Port, Starboard, Bow, Beam, None, , Head On, Crossing, Stand On, Stand On, Hold Course And Speed, Hold Course And Speed, 0 degrees, 0 degrees, 10 degrees, , 
0154.3, Beginner, Answer, 0, Student29, 86, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, Merchant, Merchant, Port, Starboard, Bow, Bow, 11147, 9809.707, 40, 1.975909, 0, 358.8697, no, No, Port, Port, Bow, Beam, None, , Head On, Head On, Stand On, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
0204.9, Beginner, Answer, 0, Student29, 63, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, Warship, Merchant, Port, Port, Bow, Bow, 11253, 9256.227, 180, 347.0432, 180, 7.361053, no, No, Port, Starboard, Bow, Beam, None, , Crossing, Crossing, Stand On, Stand On, Hold Course And Speed, Hold Course And Speed, 0 degrees, 0 degrees, 10 degrees, , 
0283.9, Beginner, Answer, 0, Student29, 73, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, Merchant, Merchant, Port, Port, Bow, Bow, 9000, 7889.938, 351, 351.361, 10, 6.690247, no, No, Port, Starboard, Bow, Beam, None, , Head On, Crossing, Stand On, Stand On, Hold Course And Speed, Hold Course And Speed, 0 degrees, 0 degrees, 10 degrees, , 
0352.9, Beginner, Answer, 0, Student29, 54, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, Warship, Merchant, Port, Starboard, Bow, Bow, 9000, 8667.693, 27, 27.08597, 40, 345.1149, no, No, Port, Port, Bow, Beam, None, , Overtaking, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 30 degrees, 10 degrees, , 
0409.4, Beginner, Answer, 0, Student29, 32, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, Tug With Tow, Merchant, Port, Port, Bow, Bow, 1634, 2653.804, 90, 359.4912, 90, 179.4912, no, No, Port, Port, Bow, Beam, None, , Head On, Overtaking, Stand On, Give Way, Hold Course And Speed, Turn To Starboard, 0 degrees, 20 degrees, 10 degrees, , 
0471.5, Beginner, Answer, 0, Student29, 71, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, Tanker, Tanker, Port, Starboard, Bow, Bow, 10000, 9207.14, 13, 13.72158, 70, 352.2853, no, No, Port, Port, Bow, Beam, None, , Crossing, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
0517.6, Beginner, Answer, 0, Student29, 88, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, Merchant, Merchant, Port, Port, Bow, Bow, 9000, 8773.465, 357, 357.533, 0, 1.604309, no, No, Port, Starboard, Bow, Beam, None, , Head On, Head On, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
0570.5, Beginner, Answer, 0, Student29, 74, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, Merchant, Merchant, Port, Starboard, Bow, Beam, 9000, 8449.396, 56, 56.66394, 30, 338.1365, no, No, Port, Port, Bow, Bow, None, , Crossing, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 60 degrees, 10 degrees, , 
0621.5, Beginner, Answer, 0, Student29, 71, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, Tanker, Tanker, Port, Starboard, Bow, Bow, 9000, 9976.962, 27, 27.39569, 50, 348.1289, no, No, Port, Port, Bow, Beam, None, , Crossing, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 30 degrees, 10 degrees, , 
