Student32_2024_04_08_11_20, 2024-04-11 23:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time, Difficulty, EventType, Latency, Student Name, Score, TargetVesselTypeScore, TargetIsPortStarboardScore, TargetIsBowBeamSternScore, TargetRangeScore, TargetBearingScore, TargetAngleScore, TargetBearingDriftScore, TargetCPAIsPortStarboardScore, TargetCPAIsBowBeamSternScore, TargetCPARangeScore, RuleTypeScore, StandOnGiveWayScore, ActionScore, DegreesScore, SpeedScore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPARangechosen, TargetCPARangecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, 
28.5, None, GameMode,-1, Quiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.5, None, Continue,-1, Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.7, Beginner, Answer,0, Student32,68,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0, Warship, Tanker, Port, Starboard, Bow, Bow,9023,8507.988,0,2.121632,0,358.3367, no, No, Port, Port, Bow, Beam, None, , Head On, Head On, Stand On, Give Way, Hold Course And Speed, Turn To Starboard, 0 degrees, 20 degrees, 10 degrees, , 
112.9, Beginner, Answer,0, Student32,69,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0, Warship, Merchant, Port, Port, Bow, Bow,6783,11029.56,0,348.9275,0,4.958649, no, No, Port, Starboard, Bow, Beam, None, , Head On, Crossing, Stand On, Stand On, Hold Course And Speed, Hold Course And Speed, 0 degrees, 0 degrees, 10 degrees, , 
127.6, Beginner, Answer,0, Student32,88,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0, Warship, Merchant, Port, Starboard, Bow, Bow,11765,7660.12,0,24.1867,0,342.0724, no, No, Port, Port, Bow, Beam, None, , Overtaking, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
170.7, Beginner, Answer,0, Student32,74,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0, Warship, Tanker, Port, Starboard, Bow, Bow,11453,10220.39,0,0.5135169,0,359.6782, no, No, Port, Port, Bow, Beam, None, , Overtaking, Head On, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
206.6, Beginner, Answer,0, Student32,88,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0, Warship, Merchant, Port, Port, Bow, Bow,11342,10256.53,0,326.4652,0,13.95352, no, No, Port, Starboard, Bow, Beam, None, , Overtaking, Crossing, Give Way, Stand On, Turn To Starboard, Hold Course And Speed, 10 degrees, 0 degrees, 10 degrees, , 
241.9, Beginner, Answer,0, Student32,68,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0, Tug With Tow, Tug With Tow, Port, Port, Bow, Bow,11562,10118.87,359,359.2039, None,0.4757996, no, No, Port, Starboard, Bow, Beam, None, , Head On, Head On, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
279.5, Beginner, Answer,0, Student32,88,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0, Merchant, Merchant, Port, Port, Bow, Bow,10846,9369.389,359,359.1674,0,0.5502319, no, No, Port, Starboard, Bow, Beam, None, , Head On, Head On, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
325.7, Beginner, Answer,0, Student32,68,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0, Tanker, Tanker, Port, Port, Bow, Bow,10652,9276.608,338,338.7389,40,10.96027, no, No, Port, Starboard, Bow, Beam, None, , Crossing, Crossing, Stand On, Stand On, Hold Course And Speed, Hold Course And Speed, 0 degrees, 0 degrees, 10 degrees, , 
365.7, Beginner, Answer,0, Student32,67,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0, Merchant, Merchant, Port, Starboard, Bow, Broad On Bow,86435,7506.055,50,50.4935,50,332.3312, no, No, Port, Port, Bow, Broad On Bow, None, , Crossing, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 50 degrees, 10 degrees, , 
396.8, Beginner, Answer,0, Student32,93,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0, Merchant, Merchant, Port, Starboard, Bow, Bow,10500,9158.18,19,19.46964,0,349.3696, no, No, Port, Port, Bow, Beam, None, , Overtaking, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
