Student36_2024_04_14_8_33, 2024-04-02 10:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time, Difficulty, EventType, Latency, Student Name, Score, TargetVesselTypeScore, TargetIsPortStarboardScore, TargetIsBowBeamSternScore, TargetRangeScore, TargetBearingScore, TargetAngleScore, TargetBearingDriftScore, TargetCPAIsPortStarboardScore, TargetCPAIsBowBeamSternScore, TargetCPARangeScore, RuleTypeScore, StandOnGiveWayScore, ActionScore, DegreesScore, SpeedScore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPARangechosen, TargetCPARangecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, 
7.4, None, GameMode,-1, Quiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4, None, Continue,-1, Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.4, Beginner, Answer,0, Student36,45,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0, Warship, Merchant, Port, Port, Bow, Bow, None,10458.75,0,330.924,0,12.43079, no, No, Port, Starboard, Bow, Beam, None, , Overtaking, Crossing, Give Way, Stand On, Turn To Starboard, Hold Course And Speed, 10 degrees, 0 degrees, 10 degrees, , 
190.5, Beginner, Answer,0, Student36,74,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0, Warship, Merchant, Port, Starboard, Bow, Bow,11140,9500.923,0,1.979738,0,358.9529, no, No, Port, Port, Bow, Beam, None, , Overtaking, Head On, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
244.1, Beginner, Answer,0, Student36,93,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0, Warship, Merchant, Port, Port, Bow, Bow,9779,8400.174,347,347.0602,0,7.370636, no, No, Port, Starboard, Bow, Beam, None, , Crossing, Crossing, Stand On, Stand On, Hold Course And Speed, Hold Course And Speed, 0 degrees, 0 degrees, 10 degrees, , 
311.1, Beginner, Answer,0, Student36,72,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0, Merchant, Merchant, Port, Port, Bow, Bow,9456,7925.847,451,351.3552,0,6.626556, no, No, Port, Starboard, Bow, Beam, None, , Crossing, Crossing, Stand On, Stand On, Hold Course And Speed, Hold Course And Speed, 0 degrees, 0 degrees, 10 degrees, , 
398.5, Beginner, Answer,0, Student36,71,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0, Merchant, Merchant, Port, Starboard, Bow, Bow,9954,8303.765,27,27.06582,30,345.106, no, No, Port, Port, Bow, Beam, None, , Crossing, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 30 degrees, 10 degrees, , 
444.5, Beginner, Answer,0, Student36,28,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0, Merchant, Merchant, Port, Port, Bow, Bow,2939,2527.45,359,359.4663,35,179.4663, no, No, Port, Port, Bow, Beam, None, , Overtaking, Overtaking, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
574.3, Beginner, Answer,0, Student36,70,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0, Tanker, Tanker, Port, Starboard, Bow, Bow,10144,8785.948,13,13.71575,300,352.3049, no, No, Port, Port, Bow, Beam, None, , Crossing, Crossing, Give Way, Give Way, Turn To Port, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
675.1, Beginner, Answer,0, Student36,72,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0, Warship, Merchant, Port, Port, Bow, Bow,11154,8139.348,20,357.5342,45,1.589111, no, No, Port, Starboard, Bow, Beam, None, , Crossing, Head On, Stand On, Give Way, Hold Course And Speed, Turn To Starboard, 0 degrees, 20 degrees, 10 degrees, , 
710.2, Beginner, Answer,0, Student36,28,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0, Warship, Merchant, Port, Starboard, Bow, Beam,11163,8269.447,0,56.64716,0,338.1804, no, No, Port, Port, Bow, Bow, None, , Overtaking, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 60 degrees, 10 degrees, , 
899.7, Beginner, Answer,0, Student36,70,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0, Tanker, Tanker, Port, Starboard, Bow, Bow,11109,9579.73,27,27.38971,354,348.1467, no, No, Port, Port, Bow, Beam, None, , Crossing, Crossing, Stand On, Give Way, Hold Course And Speed, Turn To Starboard, 0 degrees, 30 degrees, 10 degrees, , 
