Time, Difficulty, EventType, Latency, Score, TargetVesselTypescore, TargetIsPortStarboardscore, TargetIsBowBeamSternscore, TargetRangescore, TargetBearingscore, TargetAnglescore, TargetBearingDriftscore, TargetCPARangescore, TargetCPAIsPortStarboardscore, TargetCPAIsBowBeamSternscore, TargetCPATimescore, RuleTypescore, StandOnGiveWayscore, Actionscore, Degreesscore, Speedscore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPARangechosen, TargetCPARangecorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPATimechosen, TargetCPATimecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, ,
49.5,0.24, Answer,0,80,2,2,2,2,3,20,0,0,5,5,2,15,2,19,1,0, TugWithTow, TugWithTow, Port, Port, Bow, Bow,7700,7261,360,359,0,0, has strong left, is CBDR,5000,0, Port, Port, Beam, Beam,9,8, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
111.7,0.27, Answer,0,69.7,2,2,2,1.7,3,20,0,0,0,0,2,15,2,19,1,0, Merchant, Merchant, Stbd, Stbd, Bow, Bow,7900,6977,27,29,322,319, has strong left, is CBDR,5000,0, Stbd, Port, Quarter, Broad,9,8, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
164.6,0.31, Answer,0,67.25,2,2,2,2,2.55,0,18,0,0,0,1.7,15,2,19,1,0, Merchant, Merchant, Stbd, Stbd, Bow, Bow,5400,5268,18,27,229,293, is CBDR, is CBDR,5000,0, Stbd, Port, Quarter, Broad,6,8, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
223.5,0.35, Answer,0,77.7,2,2,2,0,3,20,0,0,5,5,1.7,15,2,19,1,0, CruiseShip, CruiseShip, Stbd, Stbd, Broad, Broad,8100,7053,50,52,319,318, has strong left, is CBDR,5000,0, Stbd, Stbd, Quarter, Quarter,6,8, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 50 deg, 50 deg, hold speed, hold speed, , 
291.2,0.38, Answer,0,73,0,2,2,0,3,20,18,0,5,5,2,15,0,0,1,0, MV Serius Star_30, MV Serius Star_51, Stbd, Stbd, Bow, Bow,8400,7273,24,20,330,332, is CBDR, is CBDR,5000,0, Stbd, Stbd, Quarter, Quarter,8,7, Crossing, Crossing, Stand on, Giveway, hold course and speed, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
400.4,0.43, Answer,0,89,0,2,2,0,3,20,18,0,0,5,2,15,2,19,1,0, Yavuz_94, TurboCat_109, Port, Port, Bow, Bow,10000,11377,356,357,0,1, is CBDR, is CBDR,5000,0, Port, Stbd, Beam, Beam,7,6, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
493.4,0.46, Answer,0,73,0,2,2,2,3,20,0,0,0,5,2,15,2,19,1,0, Tractor Tug 50_163, Tractor Tug 50_171, Stbd, Stbd, Bow, Bow,5400,5465,7,4,347,347, has strong left, is CBDR,5000,0, Port, Stbd, Beam, Beam,7,6, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
543.2,0.51, Answer,0,97.7,2,2,2,1.7,3,20,18,0,5,5,2,15,2,19,1,0, Grand Princess_237, Grand Princess_237, Stbd, Stbd, Bow, Bow,2300,3100,0,0,180,179, is CBDR, is CBDR,5000,18, Stbd, Stbd, Beam, Beam,6,7, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
598.7,0.56, Answer,0,96,0,2,2,2,3,20,18,0,5,5,2,15,2,19,1,0, Tractor Tug 50_249, Tractor Tug 50_273, Port, Port, Stern, Stern,200,572,180,180,0,0, is CBDR, is CBDR,5000,16, Port, Port, Beam, Beam,6,7, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
626.1,0.61, Answer,0,96,0,2,2,2,3,20,18,0,5,5,2,15,2,19,1,0, Tractor Tug 50_249, Tractor Tug 50_273, Port, Port, Stern, Stern,200,532,180,180,0,0, is CBDR, is CBDR,5000,16, Port, Port, Beam, Beam,6,6, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
