Time, Difficulty, EventType, Latency, Score, TargetVesselTypescore, TargetIsPortStarboardscore, TargetIsBowBeamSternscore, TargetRangescore, TargetBearingscore, TargetAnglescore, TargetBearingDriftscore, TargetCPARangescore, TargetCPAIsPortStarboardscore, TargetCPAIsBowBeamSternscore, TargetCPATimescore, RuleTypescore, StandOnGiveWayscore, Actionscore, Degreesscore, Speedscore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPARangechosen, TargetCPARangecorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPATimechosen, TargetCPATimecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, ,Unnamed: 54
68.0,0.23, Answer,0.0,60.0,2,2,2.0,2.0,3,0,0,0,5,5.0,2.0,15,2,19,1,0, TugWithTow, TugWithTow, Port, Port, Bow, Bow,7400,7005,360,359,180,0, has strong left, is CBDR,5000,0, Port, Port, Beam, Beam,9,8, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
137.0, Answer,0.0,45.7,2.0,0,2,0.0,3.0,0,0,0,0,0,1.7,15.0,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Bow,9000,7878,22,25,11,325, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Quarter,6,8, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , ,
249.0,0.28, Answer,0.0,69.7,2,2,2.0,0.0,0,20,0,0,5,0.0,1.7,15,2,19,1,0, Merchant, Merchant, Port, Port, Bow, Bow,5000,3654,180,359,180,180, has strong left, is CBDR,5000,19, Port, Port, Bow, Beam,6,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
320.0,0.31, Answer,0.0,54.4,2,2,2.0,1.7,3,0,0,0,5,0.0,1.7,15,2,19,1,0, TugWithTow, TugWithTow, Port, Port, Bow, Bow,3800,3291,360,359,0,180, has strong left, is CBDR,5000,12, Port, Port, Bow, Beam,6,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
413.0,0.34, Answer,0.0,47.7,2,0,2.0,1.7,3,0,0,0,0,0.0,2.0,15,2,19,1,0, Tanker, Tanker, Port, Stbd, Bow, Bow,7700,6834,36,31,0,315, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Quarter,8,8, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 30 deg, 30 deg, hold speed, hold speed, , 
481.0,0.38, Answer,0.0,68.0,2,2,2.0,0.0,0,20,0,0,5,0.0,0.0,15,2,19,1,0, Pusher Pup_57, Pusher Pup_57, Port, Port, Bow, Bow,5000,2652,180,359,180,180, has strong left, is CBDR,5000,9, Port, Port, Bow, Beam,12,7, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
603.0,0.38, Answer,0.0,51.0,0,2,2.0,2.0,3,0,0,0,5,0.0,0.0,15,2,19,1,0, HOS Brigadoon_102, Tractor Tug 50_113, Port, Port, Bow, Bow,5000,5398,351,353,180,16, has strong left, is CBDR,5000,1, Port, Port, Bow, Beam,3,6, Crossing, Crossing, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
683.0, Answer,0.0,19.7,0.0,0,2,0.0,0.0,0,0,0,0,0,1.7,15.0,0,0,1,0, Hook Vessels, MV Serius Star_175, Port, Stbd, Bow, Bow,5000,6708,180,32,180,314, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Quarter,6,8, Crossing, Crossing, Stand on, Giveway, hold course and speed, turn to starboard, 30 deg, 30 deg, hold speed, hold speed, , ,
790.0, Answer,0.0,47.7,0.0,2,2,0.0,0.0,0,0,0,5,0,1.7,15.0,2,19,1,0, Hook Vessels, TurboCat_237, Port, Port, Bow, Bow,5000,12707,180,327,180,16, has strong left, is CBDR,5000,0, Port, Port, Bow, Quarter,6,8, Crossing, Crossing, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , ,
862.0,0.42, Answer,0.0,7.0,0,2,2.0,0.0,0,0,0,0,0,0.0,2.0,0,0,0,1,0, TurboCat_277, Orient Express_297, Port, Port, Bow, Bow,5000,7872,180,359,180,0, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Beam,6,7, Crossing, Head On, Stand on, Giveway, hold course and speed, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
