Time, Difficulty, EventType, Latency, Student Name, Score, TargetVesselTypeScore, TargetIsPortStarboardScore, TargetIsBowBeamSternScore, TargetRangeScore, TargetBearingScore, TargetAngleScore, TargetBearingDriftScore, TargetCPAIsPortStarboardScore, TargetCPAIsBowBeamSternScore, TargetCPARangeScore, RuleTypeScore, StandOnGiveWayScore, ActionScore, DegreesScore, SpeedScore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPARangechosen, TargetCPARangecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, 
94.0, Beginner, Answer,0,Student72,30,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0, Warship, Merchant, Port, Port, Bow, Bow, None,10424.08, None,330.9167,294,12.24927, no, No, Port, Port, Bow, Beam, None, , Overtaking, Crossing, Give Way, Stand On, Turn To Port, Hold Course And Speed, 10 degrees, 0 degrees, 10 degrees, , 
202.0, Beginner, Answer,0,Student72,68,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0, Merchant, Merchant, Port, Starboard, Bow, Bow,9849,9534.969, None,1.974974,116,358.8791, no, No, Port, Port, Bow, Beam, None, , Head On, Head On, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
292.0, Beginner, Answer,0,Student72,46,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0, Warship, Merchant, Port, Port, Bow, Bow, None,9324.983, None,347.0366,174,7.355225, no, No, Port, Starboard, Bow, Beam, None, , Head On, Crossing, Stand On, Stand On, Hold Course And Speed, Hold Course And Speed, 0 degrees, 0 degrees, 10 degrees, , 
400.0, Beginner, Answer,0,Student72,78,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0, Merchant, Merchant, Port, Port, Bow, Bow,8461,7063.637,351,351.3883,92,6.715546, no, No, Starboard, Starboard, Beam, Beam, None, , Crossing, Crossing, Stand On, Stand On, Hold Course And Speed, Hold Course And Speed, 0 degrees, 0 degrees, 10 degrees, , 
519.0, Beginner, Answer,0,Student72,66,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0, Merchant, Merchant, Port, Starboard, Bow, Bow, None,7699.233, None,27.04693,148,345.0825, no, No, Port, Port, Bow, Beam, None, , Crossing, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 30 degrees, 10 degrees, , 
616.0, Beginner, Answer,0,Student72,78,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0, Merchant, Merchant, Port, Port, Bow, Bow,2721,1928.209,359,359.3008,66,179.3008, no, No, Port, Port, Beam, Beam, None, , Overtaking, Overtaking, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
715.0, Beginner, Answer,0,Student72,98,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0, Tanker, Tanker, Starboard, Starboard, Bow, Bow,9597,7699.44,13,13.73919,350,352.3377, no, No, Port, Port, Beam, Beam, None, , Crossing, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
784.0, Beginner, Answer,0,Student72,98,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0, Merchant, Merchant, Port, Port, Bow, Bow,8963,7413.276,357,357.5223,2,1.517456, no, No, Starboard, Starboard, Beam, Beam, None, , Head On, Head On, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
892.0, Beginner, Answer,0,Student72,76,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0, Merchant, Merchant, Starboard, Starboard, Beam, Beam,8653,6579.748,56,56.40555,132,338.0127, no, No, Port, Port, Bow, Bow, None, , Crossing, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 60 degrees, 10 degrees, , 
973.0, Beginner, Answer,0,Student72,28,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0, Warship, Tanker, Port, Starboard, Bow, Bow, None,9358.19, None,27.39087,78,348.1518, no, No, Port, Port, Bow, Beam, None, , Head On, Crossing, Stand On, Give Way, Hold Course And Speed, Turn To Starboard, 0 degrees, 30 degrees, 10 degrees, , 
