Time, Difficulty, EventType, Latency, Score, TargetVesselTypescore, TargetIsPortStarboardscore, TargetIsBowBeamSternscore, TargetRangescore, TargetBearingscore, TargetAnglescore, TargetBearingDriftscore, TargetCPARangescore, TargetCPAIsPortStarboardscore, TargetCPAIsBowBeamSternscore, TargetCPATimescore, RuleTypescore, StandOnGiveWayscore, Actionscore, Degreesscore, Speedscore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPARangechosen, TargetCPARangecorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPATimechosen, TargetCPATimecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, 
014.8, 0.21, Answer, 000.0, 10, 0, 2, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 0, Warship, TugWithTow, Port, Port, Bow, Bow, 5000, 7668, 180, 359, 180, 0, has strong left, is CBDR, 5000, 0, Port, Port, Bow, Beam, 12, 9, Crossing, Head On, Stand on, Giveway, hold course and speed, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
019.5, 0.21, Answer, 000.0, 18, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 0, Warship, Merchant, Port, Stbd, Bow, Bow, 5000, 8374, 180, 25, 180, 325, has strong left, is CBDR, 5000, 0, Port, Stbd, Bow, Quarter, 12, 9, Crossing, Crossing, Stand on, Giveway, hold course and speed, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
023.4, 0.23, Answer, 000.0, 23, 0, 0, 2, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, Warship, Merchant, Port, Stbd, Bow, Bow, 5000, 3778, 180, 0, 180, 179, has strong left, is CBDR, 5000, 3, Port, Stbd, Bow, Beam, 12, 9, Crossing, Overtaking, Stand on, Giveway, hold course and speed, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
027.8, 0.23, Answer, 000.0, 5, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, Warship, TugWithTow, Port, Port, Bow, Bow, 5000, 8152, 180, 359, 180, 1, has strong left, is CBDR, 5000, 0, Port, Stbd, Bow, Beam, 12, 9, Crossing, Head On, Stand on, Giveway, hold course and speed, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
057.0, 0.26, Answer, 000.0, 68, 2, 2, 2, 0, 3, 20, 0, 0, 0, 0, 2, 15, 2, 19, 1, 0, Merchant, Merchant, Port, Port, Bow, Bow, 5000, 7767, 360, 359, 0, 1, has strong left, is CBDR, 5000, 0, Port, Stbd, Bow, Beam, 9, 8, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
090.8, 0.30, Answer, 000.0, 85, 2, 2, 2, 0, 0, 17, 18, 0, 5, 0, 2, 15, 2, 19, 1, 0, Merchant, Merchant, Port, Port, Bow, Bow, 5000, 7568, 360, 344, 19, 25, is CBDR, is CBDR, 5000, 0, Port, Port, Bow, Beam, 8, 8, Crossing, Crossing, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
118.4, 0.35, Answer, 000.0, 89, 2, 0, 2, 0, 3, 20, 18, 0, 5, 0, 2, 15, 2, 19, 1, 0, TugWithTow, TugWithTow, Port, Stbd, Bow, Bow, 5000, 7429, 0, 1, 360, 357, is CBDR, is CBDR, 5000, 0, Port, Port, Bow, Beam, 8, 8, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
159.7, 0.38, Answer, 000.0, 59, 0, 0, 2, 0, 0, 0, 18, 0, 0, 0, 2, 15, 2, 19, 1, 0, Yavuz_62, Yavuz_69, Port, Stbd, Bow, Bow, 5000, 6865, 180, 8, 180, 342, is CBDR, is CBDR, 5000, 0, Port, Stbd, Bow, Beam, 8, 8, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
213.1, 0.42, Answer, 000.0, 89.7, 2, 2, 2, 1.7, 3, 17, 18, 0, 5, 0, 2, 15, 2, 19, 1, 0, Orient Express_127, Orient Express_127, Port, Port, Bow, Bow, 5000, 5874, 324, 325, 57, 49, is CBDR, is CBDR, 5000, 0, Port, Port, Bow, Quarter, 8, 7, Crossing, Crossing, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
288.2, 0.46, Answer, 000.0, 68, 2, 0, 2, 2, 3, 20, 0, 0, 0, 0, 2, 15, 2, 19, 1, 0, CMA CGM Norsk_189, CMA CGM Norsk_189, Port, Stbd, Bow, Bow, 5000, 4609, 36, 32, 298, 297, has strong left, is CBDR, 5000, 0, Port, Stbd, Bow, Quarter, 6, 7, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 30 deg, 30 deg, hold speed, hold speed, , 
